Timestamp,Surplus Power,Avg Market Clearing Price,Demand Met (Current),Demand Met (Yesterday),Peak Shortage,Energy,Unconstrained Price %
2024-12-26 23:07:55,"17,412 MW",4.54 ₹/Unit,156 GW,154 GW,943 MW,45 MU,[100.00 %]
2024-12-26 23:08:21,"17,412 MW",4.54 ₹/Unit,156 GW,154 GW,943 MW,45 MU,[100.00 %]
